bennett_id,sign_type,transliteration,phonetic_class,total_occurrences,raw_initial,raw_medial,raw_final,initial_fraction,medial_fraction,final_fraction,positional_entropy
A 028B,logogram,,,5,1,4,0,0.2,0.8,0.0,0.721928
A 100-102,logogram,,,41,10,22,9,0.243902,0.536585,0.219512,1.458623
A 131C,logogram,,,6,0,3,3,0.0,0.5,0.5,1.0
A 301,logogram,,,508,238,31,239,0.468504,0.061024,0.470472,1.270468
A 302,logogram,,,29,6,16,7,0.206897,0.551724,0.241379,1.438627
A 303,logogram,,,61,11,32,18,0.180328,0.52459,0.295082,1.453485
A 304,logogram,,,30,2,20,8,0.066667,0.666667,0.266667,1.158939
A 305,logogram,,,21,4,12,5,0.190476,0.571429,0.238095,1.409975
A 306,logogram,,,23,5,13,5,0.217391,0.565217,0.217391,1.422475
A 307,logogram,,,8,2,4,2,0.25,0.5,0.25,1.5
A 308,logogram,,,16,3,11,2,0.1875,0.6875,0.125,1.19946
A 309A,logogram,,,6,0,6,0,0.0,1.0,0.0,-0.0
A 310,logogram,,,10,0,10,0,0.0,1.0,0.0,-0.0
A 312,logogram,,,8,1,5,2,0.125,0.625,0.25,1.298795
A 314,logogram,,,7,2,4,1,0.285714,0.571429,0.142857,1.378783
A 316,logogram,,,5,1,3,1,0.2,0.6,0.2,1.370951
A 319,logogram,,,6,0,5,1,0.0,0.833333,0.166667,0.650022
A 322,logogram,,,7,3,1,3,0.428571,0.142857,0.428571,1.448816
A 323,logogram,,,6,1,4,1,0.166667,0.666667,0.166667,1.251629
A 325,logogram,,,5,0,4,1,0.0,0.8,0.2,0.721928
AB 01,syllabogram,da,CV,143,22,108,13,0.153846,0.755245,0.090909,1.035808
AB 02,syllabogram,ro,CV,279,94,62,123,0.336918,0.222222,0.44086,1.531932
AB 03,syllabogram,pa,CV,103,10,84,9,0.097087,0.815534,0.087379,0.873847
AB 04,syllabogram,te,CV,186,40,90,56,0.215054,0.483871,0.301075,1.504988
AB 05,syllabogram,to,CV,17,2,14,1,0.117647,0.823529,0.058824,0.834347
AB 06,syllabogram,na,CV,159,7,138,14,0.044025,0.867925,0.08805,0.684387
AB 07,syllabogram,di,CV,109,9,89,11,0.082569,0.816514,0.100917,0.869805
AB 08,syllabogram,a,V,209,91,101,17,0.435407,0.483254,0.08134,1.323744
AB 09,syllabogram,se,CV,69,4,49,16,0.057971,0.710145,0.231884,1.077788
AB 10,syllabogram,u,V,68,11,53,4,0.161765,0.779412,0.058824,0.945793
AB 11,syllabogram,si,CV,8,2,6,0,0.25,0.75,0.0,0.811278
AB 118,syllabogram,?,?,26,1,20,5,0.038462,0.769231,0.192308,0.929355
AB 120,syllabogram,?,?,68,8,51,9,0.117647,0.75,0.132353,1.060654
AB 122,syllabogram,?,?,28,1,19,8,0.035714,0.678571,0.285714,1.06769
AB 123,syllabogram,?,?,8,1,7,0,0.125,0.875,0.0,0.543564
AB 13,syllabogram,me,CV,43,3,34,6,0.069767,0.790698,0.139535,0.932348
AB 131A,syllabogram,,,78,16,33,29,0.205128,0.423077,0.371795,1.52455
AB 16,syllabogram,qa,CV,45,8,33,4,0.177778,0.733333,0.088889,1.08152
AB 164,syllabogram,,,28,14,1,13,0.5,0.035714,0.464286,1.185616
AB 17,syllabogram,za,CV,40,2,33,5,0.05,0.825,0.125,0.820062
AB 180,syllabogram,,,15,6,0,9,0.4,0.0,0.6,0.970951
AB 188,syllabogram,,,20,9,7,4,0.45,0.35,0.2,1.512888
AB 21,syllabogram,mi,CV,5,3,0,2,0.6,0.0,0.4,0.970951
AB 21f,syllabogram,mi?,?,22,6,14,2,0.272727,0.636364,0.090909,1.240671
AB 21m,syllabogram,,,9,1,6,2,0.111111,0.666667,0.222222,1.224394
AB 22,syllabogram,pi,CV,6,2,1,3,0.333333,0.166667,0.5,1.459148
AB 22f,syllabogram,pi?,?,17,5,7,5,0.294118,0.411765,0.294118,1.565653
AB 23,syllabogram,mu,CV,15,3,11,1,0.2,0.733333,0.066667,1.052982
AB 23m,syllabogram,,,9,2,1,6,0.222222,0.111111,0.666667,1.224394
AB 24,syllabogram,ne,CV,58,6,44,8,0.103448,0.758621,0.137931,1.03514
AB 26,syllabogram,ru,CV,94,7,80,7,0.074468,0.851064,0.074468,0.756108
AB 27,syllabogram,re,CV,126,13,95,18,0.103175,0.753968,0.142857,1.046322
AB 28,syllabogram,i,V,219,59,121,39,0.269406,0.552511,0.178082,1.425978
AB 29,syllabogram,pu,CV,15,3,10,2,0.2,0.666667,0.133333,1.241946
AB 30,syllabogram,ni,CV,144,17,92,35,0.118056,0.638889,0.243056,1.272845
AB 31,syllabogram,sa,CV,139,9,124,6,0.064748,0.892086,0.043165,0.59837
AB 34,syllabogram,"?,pa2?",?,8,1,7,0,0.125,0.875,0.0,0.543564
AB 37,syllabogram,?,?,112,11,88,13,0.098214,0.785714,0.116071,0.962806
AB 38,syllabogram,e,V,31,4,18,9,0.129032,0.580645,0.290323,1.354584
AB 39,syllabogram,"?,pi?",?,59,5,47,7,0.084746,0.79661,0.118644,0.927952
AB 40,syllabogram,wi,CV,24,3,18,3,0.125,0.75,0.125,1.061278
AB 41,syllabogram,si?,?,333,121,104,108,0.363363,0.312312,0.324324,1.581913
AB 44,syllabogram,?,?,16,2,12,2,0.125,0.75,0.125,1.061278
AB 45,syllabogram,"?,de?",?,35,3,27,5,0.085714,0.771429,0.142857,0.993669
AB 46,syllabogram,"?,je?",?,17,5,5,7,0.294118,0.294118,0.411765,1.565653
AB 47,syllabogram,?,?,9,2,6,1,0.222222,0.666667,0.111111,1.224394
AB 50,syllabogram,pu?,?,25,5,17,3,0.2,0.68,0.12,1.2098
AB 51,syllabogram,du?,?,80,6,67,7,0.075,0.8375,0.0875,0.802063
AB 53,syllabogram,ri,CV,77,1,73,3,0.012987,0.948052,0.038961,0.33676
AB 54,syllabogram,wa,CV,51,10,33,8,0.196078,0.647059,0.156863,1.286459
AB 55,syllabogram,nu,CV,61,8,48,5,0.131148,0.786885,0.081967,0.952248
AB 56,syllabogram,?,?,46,4,38,4,0.086957,0.826087,0.086957,0.840491
AB 57,syllabogram,ja,CV,172,28,119,25,0.162791,0.69186,0.145349,1.198441
AB 58,syllabogram,?,?,58,8,44,6,0.137931,0.758621,0.103448,1.03514
AB 59,syllabogram,?,?,180,31,120,29,0.172222,0.666667,0.161111,1.251362
AB 60,syllabogram,ra,CV,117,11,95,11,0.094017,0.811966,0.094017,0.885375
AB 61,syllabogram,?,?,44,16,10,18,0.363636,0.227273,0.409091,1.544024
AB 65,syllabogram,ju?,?,36,3,31,2,0.083333,0.861111,0.055556,0.716176
AB 66,syllabogram,ta?,?,17,1,15,1,0.058824,0.882353,0.058824,0.640206
AB 67,syllabogram,ki,CV,132,19,99,14,0.143939,0.75,0.106061,1.057122
AB 69,syllabogram,tu,CV,73,8,57,8,0.109589,0.780822,0.109589,0.977842
AB 70,syllabogram,"?,ko?",?,15,0,14,1,0.0,0.933333,0.066667,0.353359
AB 73,syllabogram,?,?,100,11,74,15,0.11,0.74,0.15,1.08229
AB 74,syllabogram,ze?,?,93,46,0,47,0.494624,0.0,0.505376,0.999917
AB 76,syllabogram,ra2?,?,53,3,34,16,0.056604,0.641509,0.301887,1.167003
AB 77,syllabogram,ka,CV,437,176,89,172,0.402746,0.203661,0.393593,1.525453
AB 78,syllabogram,qe,CV,46,9,30,7,0.195652,0.652174,0.152174,1.276007
